,ticker,date,close
4598,A,2018-03-02,67.51
4599,A,2018-03-05,67.55
4600,A,2018-03-06,68.11
4601,A,2018-03-07,69.7
4602,A,2018-03-08,69.85
4603,A,2018-03-09,71.13
4604,A,2018-03-12,70.71
4605,A,2018-03-13,70.68
4606,A,2018-03-14,69.92
4607,A,2018-03-15,70.18
4608,A,2018-03-16,69.9
4609,A,2018-03-19,69.34
4610,A,2018-03-20,69.85
4611,A,2018-03-21,69.4
4612,A,2018-03-22,67.47
4613,A,2018-03-23,66.06
4614,A,2018-03-26,68.2
4615,A,2018-03-27,67.0
4949,AA,2018-03-02,45.54
4950,AA,2018-03-05,45.65
4951,AA,2018-03-06,46.99
4952,AA,2018-03-07,47.88
4953,AA,2018-03-08,47.47
4954,AA,2018-03-09,47.86
4955,AA,2018-03-12,48.36
4956,AA,2018-03-13,48.59
4957,AA,2018-03-14,46.57
4958,AA,2018-03-15,46.93
4959,AA,2018-03-16,47.23
4960,AA,2018-03-19,46.36
4961,AA,2018-03-20,46.47
4962,AA,2018-03-21,47.95
4963,AA,2018-03-22,44.92
4964,AA,2018-03-23,44.71
4965,AA,2018-03-26,45.77
4966,AA,2018-03-27,44.9
8094,AAL,2018-03-02,53.18
8095,AAL,2018-03-05,53.19
8096,AAL,2018-03-06,53.57
8097,AAL,2018-03-07,54.11
8098,AAL,2018-03-08,54.79
8099,AAL,2018-03-09,56.07
8100,AAL,2018-03-12,56.5
8101,AAL,2018-03-13,56.23
8102,AAL,2018-03-14,55.28
8103,AAL,2018-03-15,55.17
8104,AAL,2018-03-16,55.4
8105,AAL,2018-03-19,54.62
8106,AAL,2018-03-20,55.32
8107,AAL,2018-03-21,54.09
8108,AAL,2018-03-22,52.31
8109,AAL,2018-03-23,51.01
8110,AAL,2018-03-26,51.86
8111,AAL,2018-03-27,50.9
9418,AAMC,2018-03-02,66.7
9419,AAMC,2018-03-05,65.2
9420,AAMC,2018-03-06,65.2
9421,AAMC,2018-03-07,66.75
9422,AAMC,2018-03-08,67.0
9423,AAMC,2018-03-09,65.55
9424,AAMC,2018-03-12,63.9
9425,AAMC,2018-03-13,65.0
9426,AAMC,2018-03-14,58.6
9427,AAMC,2018-03-15,60.9
9428,AAMC,2018-03-16,62.9
9429,AAMC,2018-03-19,61.05
9430,AAMC,2018-03-20,60.8
9431,AAMC,2018-03-21,60.8
9432,AAMC,2018-03-22,60.18
9433,AAMC,2018-03-23,58.35
9434,AAMC,2018-03-26,58.6
9435,AAMC,2018-03-27,65.25
17876,AAN,2018-03-02,47.26
17877,AAN,2018-03-05,46.92
17878,AAN,2018-03-06,47.98
17879,AAN,2018-03-07,47.82
17880,AAN,2018-03-08,48.63
17881,AAN,2018-03-09,47.96
17882,AAN,2018-03-12,48.89
17883,AAN,2018-03-13,48.35
17884,AAN,2018-03-14,48.34
17885,AAN,2018-03-15,47.85
17886,AAN,2018-03-16,48.32
17887,AAN,2018-03-19,47.34
17888,AAN,2018-03-20,47.54
17889,AAN,2018-03-21,47.37
